n, time
100, 0.000014
200, 0.000047
300, 0.000071
400, 0.000106
500, 0.000138
600, 0.000136
700, 0.000194
800, 0.000224
900, 0.000248
1000, 0.000277
1100, 0.000310
1200, 0.000343
1300, 0.000367
1400, 0.000402
1500, 0.000426
1600, 0.000440
1700, 0.000426
1800, 0.000489
1900, 0.000517
2000, 0.000575
2100, 0.000584
2200, 0.000650
2300, 0.000925
2400, 0.000944
2500, 0.000897
2600, 0.000795
2700, 0.000795
2800, 0.000811
2900, 0.000875
3000, 0.000768
3100, 0.000870
3200, 0.000796
3300, 0.001003
3400, 0.001030
3500, 0.000900
3600, 0.000956
3700, 0.001018
3800, 0.001153
3900, 0.000942
4000, 0.001168
4100, 0.001724
4200, 0.001747
4300, 0.001983
4400, 0.001563
4500, 0.001693
4600, 0.001238
4700, 0.001285
4800, 0.001426
4900, 0.001693
5000, 0.001579
5100, 0.002116
5200, 0.001724
5300, 0.002785
5400, 0.002026
5500, 0.002822
5600, 0.002562
5700, 0.003047
5800, 0.002859
5900, 0.002974
6000, 0.002944
6100, 0.003437
6200, 0.002598
6300, 0.002672
6400, 0.002962
6500, 0.003352
6600, 0.003617
6700, 0.003460
6800, 0.003944
6900, 0.003423
7000, 0.003217
7100, 0.003162
7200, 0.002287
7300, 0.001740
7400, 0.002940
7500, 0.002482
7600, 0.002137
7700, 0.002104
7800, 0.002099
7900, 0.002145
8000, 0.002206
8100, 0.002984
8200, 0.002810
8300, 0.002317
8400, 0.002416
8500, 0.003069
8600, 0.002651
8700, 0.003985
8800, 0.002954
8900, 0.002606
9000, 0.002723
9100, 0.002536
9200, 0.002671
9300, 0.002825
9400, 0.002791
9500, 0.002854
9600, 0.002948
9700, 0.002785
9800, 0.002764
9900, 0.003805
10000, 0.002756
10100, 0.003046
10200, 0.002724
10300, 0.003019
10400, 0.003087
10500, 0.003430
10600, 0.002742
10700, 0.002879
10800, 0.002925
10900, 0.003672
11000, 0.003817
11100, 0.003125
11200, 0.002769
11300, 0.003006
11400, 0.003023
11500, 0.004045
11600, 0.003337
11700, 0.003422
11800, 0.004466
11900, 0.004347
12000, 0.003564
12100, 0.003395
12200, 0.003283
12300, 0.003611
12400, 0.004167
12500, 0.003687
12600, 0.003440
12700, 0.003359
12800, 0.004175
12900, 0.003850
13000, 0.003534
13100, 0.003795
13200, 0.004617
13300, 0.003575
13400, 0.003793
13500, 0.003878
13600, 0.002892
13700, 0.004956
13800, 0.003904
13900, 0.003717
14000, 0.003513
14100, 0.004190
14200, 0.004108
14300, 0.003879
14400, 0.003900
14500, 0.004510
14600, 0.004384
14700, 0.003988
14800, 0.004103
14900, 0.004600
15000, 0.004205
15100, 0.004234
15200, 0.004531
15300, 0.005688
15400, 0.004631
15500, 0.004193
15600, 0.005094
15700, 0.004709
15800, 0.004062
15900, 0.004863
16000, 0.005386
16100, 0.004168
16200, 0.004747
16300, 0.005162
16400, 0.004792
16500, 0.004418
16600, 0.004933
16700, 0.005818
16800, 0.004813
16900, 0.004388
17000, 0.005261
17100, 0.004786
17200, 0.004430
17300, 0.005562
17400, 0.006354
17500, 0.004904
17600, 0.005688
17700, 0.004921
17800, 0.005011
17900, 0.005889
18000, 0.005660
18100, 0.004885
18200, 0.005258
18300, 0.005302
18400, 0.004998
18500, 0.005110
18600, 0.006038
18700, 0.005534
18800, 0.007007
18900, 0.006763
19000, 0.006319
19100, 0.008534
19200, 0.005397
19300, 0.006128
19400, 0.007527
19500, 0.005424
19600, 0.006845
19700, 0.005832
19800, 0.005640
19900, 0.006223
20000, 0.005086
20100, 0.005311
20200, 0.006826
20300, 0.005600
20400, 0.006443
20500, 0.007440
20600, 0.005865
20700, 0.006934
20800, 0.005850
20900, 0.005853
21000, 0.006372
21100, 0.005869
21200, 0.006769
21300, 0.005522
21400, 0.006321
21500, 0.005876
21600, 0.005661
21700, 0.005379
21800, 0.006673
21900, 0.005636
22000, 0.006508
22100, 0.007428
22200, 0.006250
22300, 0.007862
22400, 0.006028
22500, 0.006466
22600, 0.006339
22700, 0.005858
22800, 0.007831
22900, 0.006534
23000, 0.007455
23100, 0.005772
23200, 0.006498
23300, 0.007224
