n, time
100, 0.000012
200, 0.000034
300, 0.000075
400, 0.000131
500, 0.000187
600, 0.000262
700, 0.000349
800, 0.000461
900, 0.000577
1000, 0.000704
1100, 0.000846
1200, 0.001011
1300, 0.001181
1400, 0.001366
1500, 0.001563
1600, 0.001774
1700, 0.002009
1800, 0.002237
1900, 0.002486
2000, 0.002939
2100, 0.003036
2200, 0.003315
2300, 0.003598
2400, 0.003960
2500, 0.004203
2600, 0.004562
2700, 0.004996
2800, 0.005213
2900, 0.005482
3000, 0.005919
3100, 0.006237
3200, 0.006585
3300, 0.007370
3400, 0.007899
3500, 0.008429
3600, 0.008789
3700, 0.009222
3800, 0.009377
3900, 0.009890
4000, 0.010304
4100, 0.010696
4200, 0.011342
4300, 0.011907
4400, 0.012356
4500, 0.012915
4600, 0.013553
4700, 0.014190
4800, 0.014799
4900, 0.015344
5000, 0.015995
5100, 0.016583
5200, 0.017396
5300, 0.017969
5400, 0.018915
5500, 0.019681
5600, 0.020117
5700, 0.020996
5800, 0.021435
5900, 0.022333
6000, 0.023248
6100, 0.023780
6200, 0.024668
6300, 0.025332
6400, 0.026071
6500, 0.027705
6600, 0.027853
6700, 0.028713
6800, 0.029989
6900, 0.030607
7000, 0.031105
7100, 0.032015
7200, 0.033029
7300, 0.033848
7400, 0.034884
7500, 0.035662
7600, 0.036601
7700, 0.037706
7800, 0.038682
7900, 0.039782
8000, 0.041950
8100, 0.042002
8200, 0.043087
8300, 0.044434
8400, 0.044776
8500, 0.045874
8600, 0.047097
8700, 0.048197
8800, 0.049288
8900, 0.050634
9000, 0.051442
9100, 0.052819
9200, 0.053921
9300, 0.055366
9400, 0.055945
9500, 0.057530
9600, 0.058462
9700, 0.060140
9800, 0.061072
9900, 0.062201
10000, 0.063482
10100, 0.064629
10200, 0.066361
10300, 0.067939
10400, 0.068986
10500, 0.070000
10600, 0.071203
10700, 0.072862
10800, 0.073937
10900, 0.076429
11000, 0.077001
11100, 0.077922
11200, 0.079633
11300, 0.081153
11400, 0.082391
11500, 0.083701
11600, 0.085489
11700, 0.086591
11800, 0.088105
11900, 0.089887
12000, 0.091399
12100, 0.093082
12200, 0.096672
12300, 0.096458
12400, 0.097118
12500, 0.098969
12600, 0.101071
12700, 0.104169
12800, 0.105466
12900, 0.106680
13000, 0.108012
13100, 0.108786
13200, 0.111122
13300, 0.113834
13400, 0.115382
13500, 0.116076
13600, 0.119139
13700, 0.120107
13800, 0.124382
13900, 0.130985
14000, 0.131741
14100, 0.128323
14200, 0.129815
14300, 0.130792
14400, 0.133371
14500, 0.134867
14600, 0.137209
14700, 0.138556
14800, 0.139997
14900, 0.142455
15000, 0.143678
15100, 0.145733
15200, 0.147700
15300, 0.150510
15400, 0.154990
15500, 0.157431
15600, 0.157234
15700, 0.157955
15800, 0.160592
15900, 0.160863
16000, 0.164275
16100, 0.167450
16200, 0.169063
16300, 0.169833
16400, 0.170877
16500, 0.174708
16600, 0.176530
16700, 0.177985
16800, 0.180273
16900, 0.183362
17000, 0.184441
17100, 0.187502
17200, 0.188917
17300, 0.190084
17400, 0.192685
17500, 0.194493
17600, 0.197701
17700, 0.200122
