n, time
100, 0.000010
200, 0.000015
300, 0.000019
400, 0.000024
500, 0.000028
600, 0.000033
700, 0.000038
800, 0.000043
900, 0.000049
1000, 0.000052
1100, 0.000058
1200, 0.000064
1300, 0.000070
1400, 0.000075
1500, 0.000079
1600, 0.000086
1700, 0.000090
1800, 0.000094
1900, 0.000100
2000, 0.000103
2100, 0.000113
2200, 0.000116
2300, 0.000121
2400, 0.000127
2500, 0.000134
2600, 0.000140
2700, 0.000146
2800, 0.000150
2900, 0.000155
3000, 0.000161
3100, 0.000166
3200, 0.000174
3300, 0.000180
3400, 0.000186
3500, 0.000189
3600, 0.000192
3700, 0.000196
3800, 0.000191
3900, 0.000194
4000, 0.000199
4100, 0.000207
4200, 0.000212
4300, 0.000218
4400, 0.000225
4500, 0.000231
4600, 0.000232
4700, 0.000240
4800, 0.000245
4900, 0.000254
5000, 0.000259
5100, 0.000283
5200, 0.000278
5300, 0.000275
5400, 0.000283
5500, 0.000302
5600, 0.000288
5700, 0.000296
5800, 0.000301
5900, 0.000309
6000, 0.000313
6100, 0.000316
6200, 0.000323
6300, 0.000338
6400, 0.000343
6500, 0.000365
6600, 0.000360
6700, 0.000355
6800, 0.000360
6900, 0.000360
7000, 0.000365
7100, 0.000367
7200, 0.000372
7300, 0.000381
7400, 0.000386
7500, 0.000394
7600, 0.000393
7700, 0.000373
7800, 0.000383
7900, 0.000381
8000, 0.000385
8100, 0.000388
8200, 0.000393
8300, 0.000403
8400, 0.000420
8500, 0.000417
8600, 0.000421
8700, 0.000426
8800, 0.000436
8900, 0.000442
9000, 0.000458
9100, 0.000446
9200, 0.000448
9300, 0.000456
9400, 0.000463
9500, 0.000470
9600, 0.000474
9700, 0.000478
9800, 0.000489
9900, 0.000494
10000, 0.000498
10100, 0.000500
10200, 0.000499
10300, 0.000503
10400, 0.000508
10500, 0.000519
10600, 0.000539
10700, 0.000530
10800, 0.000536
10900, 0.000545
11000, 0.000545
11100, 0.000547
11200, 0.000552
11300, 0.000553
11400, 0.000561
11500, 0.000567
11600, 0.000571
11700, 0.000577
11800, 0.000582
11900, 0.000596
12000, 0.000592
12100, 0.000590
12200, 0.000609
12300, 0.000620
12400, 0.000637
12500, 0.000630
12600, 0.000646
12700, 0.000637
12800, 0.000652
12900, 0.000659
13000, 0.000670
13100, 0.000661
13200, 0.000647
13300, 0.000651
13400, 0.000669
13500, 0.000666
13600, 0.000675
13700, 0.000680
13800, 0.000676
13900, 0.000687
14000, 0.000686
14100, 0.000713
14200, 0.000699
14300, 0.000701
14400, 0.000709
14500, 0.000730
14600, 0.000707
14700, 0.000726
14800, 0.000736
14900, 0.000748
15000, 0.000744
15100, 0.000753
15200, 0.000760
15300, 0.000776
15400, 0.000779
15500, 0.000767
15600, 0.000766
15700, 0.000759
15800, 0.000764
15900, 0.000777
16000, 0.000781
16100, 0.000774
16200, 0.000779
16300, 0.000779
16400, 0.000826
16500, 0.000834
16600, 0.000845
16700, 0.000854
16800, 0.000866
16900, 0.000873
17000, 0.000873
17100, 0.001397
17200, 0.000882
17300, 0.000886
17400, 0.000891
17500, 0.000899
17600, 0.000908
17700, 0.000918
17800, 0.000923
17900, 0.000932
18000, 0.000932
18100, 0.000935
18200, 0.000933
18300, 0.000935
18400, 0.000940
18500, 0.000946
18600, 0.000959
18700, 0.001272
18800, 0.000975
18900, 0.000980
19000, 0.000986
19100, 0.000992
19200, 0.001000
19300, 0.001006
19400, 0.001005
19500, 0.001018
19600, 0.001032
19700, 0.001030
19800, 0.001034
19900, 0.001047
20000, 0.001038
20100, 0.002116
20200, 0.001285
20300, 0.001063
20400, 0.001078
20500, 0.001061
20600, 0.001930
20700, 0.002243
20800, 0.001525
20900, 0.001108
21000, 0.001104
21100, 0.001110
21200, 0.001562
21300, 0.001127
21400, 0.001127
21500, 0.001183
21600, 0.001152
21700, 0.001125
21800, 0.001117
21900, 0.001115
22000, 0.001116
22100, 0.001123
22200, 0.001125
22300, 0.001155
22400, 0.001177
22500, 0.001151
22600, 0.001153
22700, 0.001180
22800, 0.001195
22900, 0.001159
23000, 0.001172
23100, 0.001185
23200, 0.001160
23300, 0.001180
23400, 0.001172
23500, 0.001175
23600, 0.001202
23700, 0.001232
23800, 0.001253
23900, 0.001293
24000, 0.001259
24100, 0.001281
24200, 0.001270
24300, 0.001214
24400, 0.001233
24500, 0.001250
24600, 0.001247
24700, 0.001252
24800, 0.001264
24900, 0.001270
25000, 0.001292
25100, 0.001316
25200, 0.001313
25300, 0.001328
25400, 0.001352
25500, 0.001312
25600, 0.001319
25700, 0.001329
25800, 0.001324
25900, 0.001329
26000, 0.001361
26100, 0.001347
26200, 0.001348
26300, 0.001405
26400, 0.001399
26500, 0.001407
26600, 0.001412
26700, 0.001380
26800, 0.001400
26900, 0.001431
27000, 0.001433
27100, 0.001408
27200, 0.001394
27300, 0.001405
27400, 0.001393
27500, 0.001467
27600, 0.001442
27700, 0.001462
27800, 0.001425
27900, 0.001420
28000, 0.001437
28100, 0.001432
28200, 0.001407
28300, 0.001443
28400, 0.001448
28500, 0.001455
28600, 0.001466
28700, 0.001540
28800, 0.001482
28900, 0.001529
29000, 0.001466
29100, 0.001474
29200, 0.001485
29300, 0.001502
29400, 0.001497
29500, 0.001498
29600, 0.001498
29700, 0.001516
29800, 0.001572
29900, 0.001550
30000, 0.001580
30100, 0.001552
30200, 0.001518
30300, 0.001534
30400, 0.001539
30500, 0.001548
30600, 0.001534
30700, 0.001543
30800, 0.001621
30900, 0.001610
31000, 0.001638
31100, 0.001635
31200, 0.001641
31300, 0.001666
31400, 0.001638
31500, 0.001613
31600, 0.001633
31700, 0.001663
31800, 0.001679
31900, 0.001708
32000, 0.001664
32100, 0.001681
32200, 0.001614
32300, 0.001636
32400, 0.001659
32500, 0.001657
32600, 0.001619
32700, 0.001675
32800, 0.001722
32900, 0.001694
33000, 0.001738
33100, 0.001729
33200, 0.001680
33300, 0.001697
33400, 0.001695
33500, 0.001692
33600, 0.001713
33700, 0.001771
33800, 0.001806
33900, 0.001792
34000, 0.001848
34100, 0.001840
34200, 0.001845
34300, 0.001861
34400, 0.001862
34500, 0.001871
34600, 0.001877
34700, 0.001869
34800, 0.002245
34900, 0.003686
35000, 0.001901
35100, 0.001908
35200, 0.001914
35300, 0.002647
35400, 0.001899
35500, 0.001949
35600, 0.001946
35700, 0.001954
35800, 0.001985
35900, 0.001974
36000, 0.001910
36100, 0.001878
36200, 0.001931
36300, 0.001913
36400, 0.001950
36500, 0.001965
36600, 0.001901
36700, 0.001886
36800, 0.001891
36900, 0.001946
37000, 0.001927
37100, 0.001992
37200, 0.001968
37300, 0.002046
37400, 0.001963
37500, 0.001977
37600, 0.001958
37700, 0.001980
37800, 0.002043
37900, 0.002032
38000, 0.002013
38100, 0.002079
38200, 0.002022
38300, 0.001967
38400, 0.001982
38500, 0.002043
38600, 0.002011
38700, 0.002050
38800, 0.002065
38900, 0.002149
39000, 0.002082
39100, 0.002073
39200, 0.002052
39300, 0.002105
39400, 0.002087
39500, 0.002091
39600, 0.002157
39700, 0.002166
39800, 0.002171
