n, time
100, 0.000006
200, 0.000009
300, 0.000016
400, 0.000020
500, 0.000026
600, 0.000030
700, 0.000039
800, 0.000069
900, 0.000075
1000, 0.000066
1100, 0.000075
1200, 0.000112
1300, 0.000111
1400, 0.000140
1500, 0.000127
1600, 0.000122
1700, 0.000198
1800, 0.000151
1900, 0.000194
2000, 0.000245
2100, 0.000210
2200, 0.000209
2300, 0.000202
2400, 0.000226
2500, 0.000320
2600, 0.000246
2700, 0.000270
2800, 0.000450
2900, 0.000280
3000, 0.000346
3100, 0.000327
3200, 0.000392
3300, 0.000489
3400, 0.000461
3500, 0.000423
3600, 0.000468
3700, 0.000413
3800, 0.000448
3900, 0.000467
4000, 0.000738
4100, 0.000445
4200, 0.000655
4300, 0.000462
4400, 0.000628
4500, 0.000561
4600, 0.000545
4700, 0.000552
4800, 0.000604
4900, 0.000559
5000, 0.000613
5100, 0.000698
5200, 0.000625
5300, 0.001001
5400, 0.000757
5500, 0.000793
5600, 0.000952
5700, 0.000677
5800, 0.000789
5900, 0.000918
6000, 0.000836
6100, 0.000830
6200, 0.000895
6300, 0.000708
6400, 0.001144
6500, 0.000819
6600, 0.000862
6700, 0.000796
6800, 0.001525
6900, 0.001016
7000, 0.000804
7100, 0.001134
7200, 0.000929
7300, 0.000917
7400, 0.001202
7500, 0.001582
7600, 0.001906
7700, 0.001469
7800, 0.001356
7900, 0.001197
8000, 0.001720
8100, 0.001301
8200, 0.001122
8300, 0.001685
8400, 0.002121
8500, 0.002078
8600, 0.001381
8700, 0.001689
8800, 0.002415
8900, 0.001823
9000, 0.001902
9100, 0.004065
9200, 0.001245
9300, 0.001578
9400, 0.001669
9500, 0.002158
9600, 0.001617
9700, 0.001548
9800, 0.002363
9900, 0.001672
10000, 0.001912
10100, 0.001819
10200, 0.002875
10300, 0.003353
10400, 0.003247
10500, 0.002503
10600, 0.002431
10700, 0.002132
10800, 0.002815
10900, 0.001911
11000, 0.001950
11100, 0.001988
11200, 0.002209
11300, 0.003561
11400, 0.002606
11500, 0.003073
11600, 0.005241
11700, 0.001931
11800, 0.002127
11900, 0.004225
12000, 0.002758
12100, 0.002117
12200, 0.002312
12300, 0.002775
12400, 0.002208
12500, 0.002263
12600, 0.002279
12700, 0.002599
12800, 0.002106
12900, 0.002526
13000, 0.002001
13100, 0.002856
13200, 0.004688
13300, 0.002324
13400, 0.002160
13500, 0.002492
13600, 0.004456
13700, 0.008351
13800, 0.003948
13900, 0.002948
14000, 0.003687
14100, 0.002557
14200, 0.003007
14300, 0.003016
14400, 0.003359
14500, 0.002280
14600, 0.002792
14700, 0.003030
14800, 0.002512
14900, 0.007893
15000, 0.003713
15100, 0.016888
15200, 0.003796
15300, 0.005852
15400, 0.006815
15500, 0.006912
15600, 0.003470
15700, 0.003561
15800, 0.005417
15900, 0.003485
16000, 0.003493
16100, 0.003068
16200, 0.003619
16300, 0.003848
16400, 0.005030
16500, 0.003924
16600, 0.003719
16700, 0.003420
16800, 0.005563
16900, 0.003388
17000, 0.007353
17100, 0.004371
17200, 0.006472
17300, 0.003784
17400, 0.005483
17500, 0.006938
17600, 0.004114
17700, 0.002982
17800, 0.003936
17900, 0.003970
18000, 0.003372
18100, 0.004355
18200, 0.007932
18300, 0.005494
18400, 0.004472
18500, 0.006703
18600, 0.006474
18700, 0.005533
18800, 0.006552
18900, 0.006616
19000, 0.006897
19100, 0.006350
19200, 0.003962
19300, 0.015140
19400, 0.004965
19500, 0.006393
19600, 0.003531
19700, 0.007634
19800, 0.009092
19900, 0.004327
20000, 0.005987
20100, 0.009389
20200, 0.005245
20300, 0.003967
20400, 0.003459
20500, 0.006873
20600, 0.003671
20700, 0.007702
20800, 0.006179
20900, 0.010337
21000, 0.005958
21100, 0.008551
21200, 0.004990
21300, 0.005934
21400, 0.010752
21500, 0.007862
21600, 0.004506
21700, 0.005803
21800, 0.005985
21900, 0.007086
22000, 0.005579
22100, 0.007982
22200, 0.006167
22300, 0.004299
22400, 0.004726
22500, 0.005810
22600, 0.011125
22700, 0.009424
22800, 0.006595
22900, 0.013125
23000, 0.005286
23100, 0.008473
23200, 0.006016
23300, 0.010403
23400, 0.008363
23500, 0.008571
23600, 0.008202
23700, 0.006451
23800, 0.018362
23900, 0.006824
24000, 0.011198
24100, 0.017721
24200, 0.005119
24300, 0.009734
24400, 0.007801
24500, 0.012604
24600, 0.005463
24700, 0.005655
24800, 0.007392
24900, 0.009727
25000, 0.006417
25100, 0.016261
25200, 0.018806
25300, 0.012409
25400, 0.009849
25500, 0.006261
25600, 0.009417
25700, 0.006982
25800, 0.019297
25900, 0.006535
26000, 0.008324
26100, 0.019016
26200, 0.006889
26300, 0.011603
26400, 0.019168
26500, 0.013108
26600, 0.008839
26700, 0.010651
26800, 0.011873
26900, 0.031163
27000, 0.007190
27100, 0.017810
27200, 0.013397
27300, 0.006691
27400, 0.009205
27500, 0.011338
27600, 0.007450
27700, 0.012083
27800, 0.008754
27900, 0.011621
28000, 0.016796
28100, 0.007269
28200, 0.011661
28300, 0.009399
28400, 0.017274
28500, 0.011875
28600, 0.008269
28700, 0.019663
28800, 0.013806
28900, 0.008340
29000, 0.012425
29100, 0.021036
29200, 0.006331
29300, 0.006531
29400, 0.006729
29500, 0.013202
29600, 0.009246
29700, 0.015655
29800, 0.009432
29900, 0.010176
30000, 0.007546
30100, 0.010818
30200, 0.012926
30300, 0.018968
30400, 0.012044
30500, 0.008526
30600, 0.008668
30700, 0.009547
30800, 0.009349
30900, 0.026428
31000, 0.010151
31100, 0.011852
31200, 0.011942
31300, 0.017020
31400, 0.013858
31500, 0.013848
31600, 0.011083
31700, 0.031370
31800, 0.009361
31900, 0.010614
32000, 0.023604
32100, 0.014305
32200, 0.009766
32300, 0.012146
32400, 0.028829
32500, 0.015220
32600, 0.013226
32700, 0.012708
32800, 0.015432
32900, 0.015209
33000, 0.013467
33100, 0.016901
33200, 0.012505
33300, 0.010518
33400, 0.041469
33500, 0.015087
33600, 0.018397
33700, 0.011953
33800, 0.013909
33900, 0.013230
34000, 0.013243
34100, 0.038590
34200, 0.008450
34300, 0.014574
34400, 0.014221
34500, 0.018012
34600, 0.030626
34700, 0.010067
34800, 0.018490
34900, 0.009353
35000, 0.011739
35100, 0.035371
35200, 0.014498
35300, 0.019546
35400, 0.011625
35500, 0.011338
35600, 0.025759
35700, 0.034352
35800, 0.009742
35900, 0.011881
36000, 0.017811
36100, 0.034444
36200, 0.015833
36300, 0.020493
36400, 0.014067
36500, 0.019409
36600, 0.012335
36700, 0.039032
36800, 0.012991
36900, 0.013016
37000, 0.023772
37100, 0.031273
37200, 0.020473
37300, 0.010802
37400, 0.010842
37500, 0.015674
37600, 0.016582
37700, 0.023997
37800, 0.034359
37900, 0.025284
38000, 0.012559
38100, 0.017815
38200, 0.019549
38300, 0.023365
38400, 0.025038
38500, 0.013616
38600, 0.015345
38700, 0.012479
38800, 0.021211
38900, 0.012103
39000, 0.021386
39100, 0.013493
39200, 0.049090
39300, 0.026580
39400, 0.016926
39500, 0.015397
39600, 0.018294
39700, 0.077273
39800, 0.011871
39900, 0.019046
40000, 0.044623
40100, 0.022611
40200, 0.040998
40300, 0.014634
40400, 0.025123
40500, 0.024899
40600, 0.018395
40700, 0.023238
40800, 0.030599
40900, 0.052794
41000, 0.019796
41100, 0.028715
41200, 0.059787
41300, 0.022772
41400, 0.015150
41500, 0.022592
41600, 0.013477
41700, 0.015309
41800, 0.043350
41900, 0.011589
42000, 0.023623
42100, 0.029504
42200, 0.025919
42300, 0.020281
42400, 0.023648
42500, 0.028699
42600, 0.020804
42700, 0.018839
42800, 0.024638
42900, 0.015066
43000, 0.030564
43100, 0.017939
43200, 0.015256
43300, 0.031780
43400, 0.043026
43500, 0.012539
43600, 0.037987
43700, 0.026083
43800, 0.033078
43900, 0.014406
44000, 0.036547
44100, 0.021409
44200, 0.026008
44300, 0.017716
44400, 0.035237
44500, 0.016820
44600, 0.036050
44700, 0.051899
44800, 0.038760
44900, 0.019968
45000, 0.039865
45100, 0.028206
45200, 0.019049
45300, 0.088630
45400, 0.018630
45500, 0.025525
45600, 0.016877
45700, 0.027291
45800, 0.033799
45900, 0.028919
46000, 0.033904
46100, 0.023023
46200, 0.041393
46300, 0.027239
46400, 0.020281
46500, 0.019507
46600, 0.027828
46700, 0.050649
46800, 0.027207
46900, 0.048253
47000, 0.020201
47100, 0.030459
47200, 0.019481
47300, 0.027996
47400, 0.041194
47500, 0.031070
47600, 0.061148
47700, 0.021791
47800, 0.021587
47900, 0.022586
48000, 0.015409
48100, 0.051378
48200, 0.038778
48300, 0.017238
48400, 0.018602
48500, 0.024525
48600, 0.038934
48700, 0.074431
48800, 0.044006
48900, 0.063116
49000, 0.024356
49100, 0.015923
49200, 0.037623
49300, 0.022323
49400, 0.029977
49500, 0.029195
49600, 0.026318
49700, 0.037205
49800, 0.023518
49900, 0.013452
50000, 0.044259
50100, 0.026036
50200, 0.029143
50300, 0.018473
50400, 0.027966
50500, 0.037172
50600, 0.034168
50700, 0.047247
50800, 0.042274
50900, 0.045796
51000, 0.026969
51100, 0.045504
51200, 0.024814
51300, 0.017005
51400, 0.064150
51500, 0.056797
51600, 0.106906
51700, 0.026885
51800, 0.020948
51900, 0.022151
52000, 0.125966
52100, 0.037110
52200, 0.070520
52300, 0.090951
52400, 0.026694
52500, 0.046541
52600, 0.024271
52700, 0.045736
52800, 0.025492
52900, 0.042528
53000, 0.059688
53100, 0.021188
53200, 0.018313
53300, 0.024727
53400, 0.021160
53500, 0.049182
53600, 0.021015
53700, 0.049924
53800, 0.026380
53900, 0.025142
54000, 0.154201
54100, 0.051880
54200, 0.041318
54300, 0.020937
54400, 0.021050
54500, 0.049360
54600, 0.026584
54700, 0.110822
54800, 0.026399
54900, 0.022234
55000, 0.025868
55100, 0.035260
55200, 0.025597
55300, 0.036668
55400, 0.038389
55500, 0.032449
55600, 0.023925
55700, 0.035902
55800, 0.044550
55900, 0.114880
56000, 0.028775
56100, 0.192285
56200, 0.051770
56300, 0.048890
56400, 0.026967
56500, 0.020524
56600, 0.021883
56700, 0.019647
56800, 0.048790
56900, 0.039751
57000, 0.024715
57100, 0.050462
57200, 0.029629
57300, 0.033253
57400, 0.040080
57500, 0.048673
